NFLID,Short_Name,Full_Name,Date_of_Birth,Height,Weight,College,Years_Pro,Jersey_Number
00-0027060,L.Webb,Lardarius Webb,10/12/1985,70,182,Nicholls State,8,21
00-0027061,J.Cook,Jared Cook,4/7/1987,77,254,South Carolina,8,89
00-0027062,C.Owens,Chris Owens,12/1/1986,69,180,San Jose State,7,30
00-0027063,Deon Butler,Deon Butler,1/4/1986,70,182,Penn State,4,
00-0027064,J.Powers,Jerraud Powers,7/19/1987,70,193,Auburn,8,36
00-0027065,C.Irvin,Corvey Irvin,5/3/1985,74,295,Georgia,4,0
00-0027066,R.Mouton,Ryan Mouton,9/23/1986,69,184,Hawaii,5,
00-0027067,R.Johnson,Rashad Johnson,1/2/1986,71,204,Alabama,8,49
00-0031315,M.Hazel,Matt Hazel,1/23/1992,73,204,Coastal Carolina,2,15
00-0031314,,Wesley Johnson,1/9/1991,77,297,Vanderbilt,3,76
00-0023523,S.Pouha,Sione Po'uha,2/3/1979,75,325,Utah,8,
00-0023522,S.Starks,Scott Starks,6/27/1983,69,178,Wisconsin,6,
00-0031311,,Cyril Richardson,12/27/1990,77,343,Baylor,2,68
00-0023524,A.Ellison,Atiyyah Ellison,9/29/1981,75,315,Missouri,6,
00-0031313,J.Tripp,Jordie Tripp,4/3/1991,75,244,Montana,2,58
00-0031312,E.Reynolds,Ed Reynolds,10/18/1991,73,207,Stanford,2,30
00-0005082,J.Farrior,James Farrior,1/6/1975,74,243,Virginia,15,
00-0023528,T.Essex,Trai Essex,12/5/1982,77,324,Northwestern,8,
00-0031318,,Sam Longo,7/31/1991,77,305,Cincinnati,0,72
00-0023838,M.Baker,Matt Baker,5/11/1983,74,217,North Carolina,3,
00-0032365,,DeMarcus Ayers,7/7/1994,71,190,Houston,0,82
00-0032364,,Michael Cooper,10/21/1992,77,257,Indiana,0,0
00-0032367,,Ejiro Ederaine,11/18/1993,75,237,Fresno State,0,40
00-0032366,,Tyler Matakevich,12/22/1992,73,235,Temple,0,46
00-0032361,,Curt Maggitt,2/4/1993,75,250,Tennessee,0,92
00-0032360,,Darius White,12/12/1993,72,180,California,0,37
00-0032363,,Geno Matias-Smith,5/9/1994,72,195,Alabama,0,39
00-0032362,,Maurice Harris,11/11/1992,75,200,California,0,13
00-0032369,,Anthony Lanier,5/8/1993,78,282,Alabama A&M,0,72
00-0021099,H.Green,Howard Green,1/12/1979,74,340,LSU,8,
00-0009889,R.Lewis,Ray Lewis,5/15/1975,73,240,Miami (Fla.),17,
00-0026823,A.Field,Alex Field,12/23/1986,79,270,Virginia,0,
00-0026822,M.Evans,Maurice Evans,8/14/1988,74,265,Penn State,2,
00-0030048,C.Washington,Cornelius Washington,9/10/1989,76,292,Georgia,4,90
00-0026820,N.Abdallah,Nader Abdallah,10/25/1985,77,297,Ohio State,1,
00-0026826,E.Kettani,Eric Kettani,3/26/1987,71,240,Navy,1,0
00-0026824,B.Johnson,Bruce Johnson,12/18/1987,71,182,Miami (Fla.),4,
00-0030043,D.Rogers,Da'Rick Rogers,6/18/1991,75,215,Tennessee Tech,2,0
00-0030040,B.Kaufman,Brandon Kaufman,10/26/1990,77,215,Eastern Washington,1,0
00-0030041,N.Robey,Nickell Robey,1/17/1992,68,165,USC,4,37
00-0030046,J.Mills,Jordan Mills,12/24/1990,77,316,Louisiana Tech,4,79
00-0030047,M.Wilson,Marquess Wilson,9/14/1992,76,206,Washington State,4,10
00-0030044,D.Smith,Drew Smith,4/12/1990,74,225,Albany,,
00-0030045,D.Harper,D.J. Harper,9/21/1989,69,211,Boise State,,
00-0028078,G.Miller,Gabe Miller,12/5/1987,75,250,Oregon State,3,0
00-0028079,D.Williams,D.J. Williams,9/10/1988,74,245,Arkansas,4,85
00-0022019,D.Koppen,Dan Koppen,9/12/1979,74,300,Boston College,11,67
00-0028072,R.Sands,Robert Sands,11/3/1989,76,215,West Virginia,2,
00-0022017,M.Scifres,Mike Scifres,10/8/1980,74,215,Western Illinois,14,5
00-0028070,K.Pilares,Kealoha Pilares,2/20/1988,70,200,Hawaii,4,19
00-0028071,J.White,Johnny White,2/3/1988,70,202,North Carolina,2,
00-0028076,M.Cannon,Marcus Cannon,5/6/1988,77,335,Texas Christian,6,61
00-0028077,B.Burton,Brandon Burton,7/31/1989,72,185,Utah,4,37
00-0022010,N.Eason,Nick Eason,5/29/1980,75,305,Clemson,10,
00-0022011,J.Griffith,Justin Griffith,7/21/1980,72,230,Mississippi State,8,
00-0026928,M.Trent,Morgan Trent,12/14/1985,73,187,Michigan,4,
00-0026929,A.Gardner,Andrew Gardner,4/4/1986,78,308,Georgia Tech,7,66
00-0026926,F.Summers,Frank Summers,9/6/1985,69,248,Nevada-Las Vegas,2,38
00-0026927,M.Teel,Mike Teel,1/6/1986,75,230,Rutgers,1,
00-0021604,I.Idonije,Israel Idonije,11/17/1980,78,275,Manitoba (Canada),11,72
00-0026925,J.Burnett,Joe Burnett,11/28/1986,70,184,Central Florida,3,
00-0026922,F.Tupou,Fenuki Tupou,5/2/1985,77,323,Oregon,3,
00-0026923,J.Nalbone,John Nalbone,5/14/1986,76,255,Monmouth (N.J.),3,
00-0026920,V.Harris,Macho Harris,2/16/1986,72,200,Virginia Tech,3,
00-0026921,C.Glenn,Cody Glenn,10/6/1986,72,240,Nebraska,3,
00-0029479,E.Lamur,Emmanuel Lamur,6/8/1989,76,245,Kansas State,5,59
00-0029478,J.Brooks,Jourdan Brooks,8/22/1988,72,237,Morgan State,1,34
00-0029475,W.Miles,Wallace Miles,8/1/1989,72,191,North Carolina A&T;,1,
00-0029474,O.Merrill,Otis Merrill,6/6/1988,71,188,Illinois State,1,
00-0029470,A.McDonald,Andrew McDonald,9/8/1988,78,310,Indiana,2,69
00-0029473,C.Gilleylen,Curenski Gilleylen,3/15/1989,71,213,Nebraska,1,
00-0030439,,Mark Harrison,12/11/1990,75,230,Rutgers,2,22
00-0030433,M.Gillislee,Mike Gillislee,11/1/1990,71,219,Florida,3,35
00-0030432,C.Michael,Christine Michael,11/9/1990,70,221,Texas A&M,4,32
00-0030431,R.Woods,Robert Woods,4/10/1992,72,190,USC,4,10
00-0030437,C.Larsen,Cody Larsen,12/31/1987,76,300,Southern Utah,1,60
00-0030436,W.Shaw,Will Shaw,1/5/1991,75,245,Youngstown State,,
00-0030435,,Jeremy Harris,4/26/1991,74,195,New Mexico State,3,37
00-0030434,V.Williams,Vince Williams,12/27/1989,73,233,Florida State,4,98
00-0019456,B.Urlacher,Brian Urlacher,5/25/1978,76,258,New Mexico,13,
00-0019457,A.Becht,Anthony Becht,8/8/1977,78,270,West Virginia,12,
00-0032066,,Tevin Mitchel,8/3/1992,72,190,Arkansas,2,43
00-0029299,I.Frey,Isaiah Frey,4/6/1990,72,205,Nevada,3,23
00-0029298,C.Gray,Cyrus Gray,11/18/1989,70,206,Texas A&M,4,32
00-0029291,T.Manning,Terrell Manning,4/16/1990,74,237,North Carolina State,3,97
00-0029290,,Ryan Miller,7/6/1989,79,320,Colorado,2,73
00-0029293,M.Jones,Marvin Jones,3/12/1990,74,198,California,5,11
00-0029292,,Darius Fleming,7/19/1989,74,250,Notre Dame,4,53
00-0029295,J.Lane,Jeremy Lane,7/14/1990,72,190,Northwestern State-Louisiana,5,20
00-0029294,A.Jackson,Asa Jackson,12/2/1989,70,183,Cal Poly-S.L.O.,5,46
00-0029297,T.Robinson,Trenton Robinson,2/16/1990,69,200,Michigan State,4,39
00-0029296,M.Asper,Mark Asper,11/8/1985,78,321,Oregon,3,0
00-0032562,,Cole Wick,11/30/1993,78,255,Incarnate Word (Tex.),0,89
00-0032561,,Ian Wells,7/14/1993,71,199,Ohio U.,0,40
00-0032560,,Charles Washington,3/10/1993,70,192,Fresno State,0,45
00-0027529,H.Coleman,Harry Coleman,11/10/1985,73,211,LSU,1,
00-0032566,,Trevon Coley,7/13/1994,73,307,Florida Atlantic,0,70
00-0032565,,Jarell Broxton,3/27/1993,75,322,Baylor,0,61
00-0032564,,Shiro Davis,10/10/1992,75,267,Texas,0,57
00-0027525,B.Farnham,Buddy Farnham,5/22/1987,72,185,Brown,2,
00-0027524,C.Brooks,Chris Brooks,2/5/1987,74,210,Nebraska,2,
00-0027527,C.Brown,Carlos Brown,4/28/1988,72,212,Michigan,2,
00-0032568,,Cavellis Luckett,12/6/1992,72,245,Middle Tennessee State,0,0
00-0027520,D.Curry,Dominique Curry,8/16/1987,74,223,California (PA),3,
00-0025749,R.Bartel,Richard Bartel,2/3/1983,76,230,Tarleton State,6,
00-0020515,R.Pickett,Ryan Pickett,10/8/1979,74,340,Ohio State,14,94
00-0020514,M.Bennett,Michael Bennett,8/13/1978,69,205,Wisconsin,11,
00-0025741,A.Buzbee,Alex Buzbee,11/27/1985,75,272,Georgetown,2,
00-0020516,T.Heap,Todd Heap,3/16/1980,77,252,Arizona State,12,
00-0026218,S.Crable,Shawn Crable,12/26/1984,77,250,Michigan,2,
00-0026219,A.Molden,Antwaun Molden,1/23/1985,73,198,Eastern Kentucky,5,
00-0026214,D.Connor,Dan Connor,11/2/1985,74,241,Penn State,6,55
00-0026215,R.Smith,Reggie Smith,9/3/1986,73,192,Oklahoma,5,
00-0026216,B.Cottam,Brad Cottam,11/28/1984,79,269,Tennessee,3,
00-0026217,P.Sims,Pat Sims,11/29/1985,74,340,Auburn,9,92
00-0026210,E.Bennett,Earl Bennett,3/23/1987,72,206,Vanderbilt,7,0
00-0026211,T.Gooden,Tavares Gooden,10/7/1984,73,242,Miami (Fla.),6,
00-0026212,C.Ellis,Chris Ellis,2/11/1985,76,267,Virginia Tech,4,
00-0026213,J.Charles,Jamaal Charles,12/27/1986,71,199,Texas,9,25
00-0027297,A.Howard,Austin Howard,3/22/1987,79,330,Northern Iowa,7,77
00-0027294,Z.Duncan,Zipp Duncan,7/15/1987,77,310,Kentucky,1,
00-0027292,K.Bosworth,Korey Bosworth,11/21/1986,73,242,UCLA,3,
00-0027290,C.Vaughn,Cassius Vaughn,11/3/1987,71,195,Mississippi,6,20
00-0027298,K.Jurovich,Kevin Jurovich,6/30/1986,72,197,San Jose State,2,
00-0031140,,Anthony Denham,7/21/1991,76,235,Utah,2,81
00-0031142,,Matt Feiler,7/7/1992,78,330,Bloomsburg,1,71
00-0031145,,Travis Labhart,1/20/1991,69,182,Texas A&M,1,19
00-0031146,,Terrance Lloyd,9/9/1990,75,238,Baylor,0,63
00-0031147,,Chris Martin,1/4/1990,77,303,Central Florida,1,62
00-0031148,,Chris McAllister,3/3/1991,74,255,Baylor,0,64
00-0031149,,Anthony McClung,9/9/1991,72,177,Cincinnati,0,18
00-0032170,,Rashad Greene,9/23/1992,71,185,Florida State,0,13
00-0032171,,Hayes Pullard,4/18/1992,72,240,USC,0,52
00-0032174,,Deshon Foxx,11/27/1992,70,177,Connecticut,2,1
00-0032178,,Kyle Prater,6/21/1992,77,231,Northwestern,1,17
00-0032758,,Vernon Hargreaves,6/3/1995,70,204,Florida,0,28
00-0027215,L.Paulsen,Logan Paulsen,2/26/1987,77,268,UCLA,7,82
00-0027214,K.Williams,Keiland Williams,8/14/1986,71,230,LSU,4,
00-0018227,C.Woodson,Charles Woodson,10/7/1976,73,210,Michigan,18,24
00-0027213,A.Russell,Anderson Russell,5/30/1987,72,200,Ohio State,3,32
00-0027210,D.Harris,Dominique Harris,4/14/1987,74,213,Temple,2,
00-0030231,J.Davis,Ja'Gared Davis,9/11/1990,72,238,Southern Methodist,2,58
00-0030230,A.Cruse,Andy Cruse,1/13/1990,75,216,Miami (Ohio),1,8
00-0030233,R.Graham,Ray Graham,9/18/1990,69,193,Pittsburgh,0,37
00-0030232,,Evan Frierson,5/24/1990,74,234,Illinois State,0,62
00-0030235,W.Jefferson,Willie Jefferson,1/31/1991,77,246,Stephen F. Austin St.,2,46
00-0030234,,Travis Howard,11/24/1989,73,200,Ohio State,2,33
00-0030237,O.Johnson,Orhian Johnson,10/9/1989,75,211,Ohio State,1,33
00-0030236,D.Johnson,Dennis Johnson,2/24/1990,67,193,Arkansas,2,28
00-0030239,A.Lemon,Alec Lemon,7/1/1991,74,207,Syracuse,2,15
00-0030238,A.Kupper,Alex Kupper,2/14/1990,75,299,Louisville,1,61
00-0022828,N.Jones,Nate Jones,6/15/1982,70,185,Rutgers,8,
00-0022824,A.Lee,Andy Lee,8/11/1982,73,185,Pittsburgh,13,8
00-0022821,M.Turner,Michael Turner,2/13/1982,70,247,Northern Illinois,9,
00-0032759,,Sheldon Rankins,4/2/1994,74,305,Louisville,0,99
00-0030975,A.Bayer,Alex Bayer,11/8/1990,76,258,Bowling Green State,2,82
00-0029710,Z.Brown,Zach Brown,2/6/1989,70,220,Pittsburgh,1,
00-0024174,G.Holt,Glenn Holt,7/31/1984,73,193,Kentucky,4,
00-0024172,P.Cobbs,Patrick Cobbs,1/31/1983,68,205,North Texas,6,
00-0024171,W.Wright,Wallace Wright,2/1/1984,73,197,North Carolina,7,
00-0024170,J.Kowalewski,Joe Kowalewski,11/15/1982,76,250,Syracuse,3,
00-0026841,M.Jones,Michael Jones,9/9/1986,76,212,Arizona State,2,
00-0029244,,Markus Zusevics,4/25/1989,77,300,Iowa,3,76
00-0024178,K.Dockery,Kevin Dockery,1/8/1984,68,188,Mississippi State,6,
00-0030979,A.Hill,Aaron Hill,9/5/1990,73,231,Minnesota,0,51
00-0023998,S.Gregory,Steve Gregory,1/8/1983,71,200,Syracuse,9,28
00-0029240,M.Forston,Marcus Forston,9/28/1989,75,305,Miami (Fla.),2,0
00-0023991,S.Sanders,Steve Sanders,12/23/1982,75,205,Bowling Green State,4,
00-0023997,J.Murphy,Jason Murphy,8/7/1982,74,304,Virginia Tech,4,
00-0026849,H.Donaldson,Herb Donaldson,12/13/1985,71,221,Western Illinois,3,
00-0019666,J.St. Clair,John St. Clair,7/15/1977,78,320,Virginia,11,
00-0019664,D.McIntosh,Damion McIntosh,3/25/1977,76,320,Kansas State,10,
00-0028241,I.Williams,Ian Williams,8/31/1989,73,305,Notre Dame,5,93
00-0028240,K.Wiggins,Kenny Wiggins,8/8/1988,78,314,Fresno State,3,79
00-0028715,J.Campbell,Jared Campbell,8/30/1989,72,200,Miami (Fla.),1,
00-0028242,J.Hastings,Joe Hastings,5/5/1987,72,185,Washburn,2,
00-0028713,J.Laptad,Jake Laptad,7/29/1988,76,260,Kansas,1,
00-0028246,A.Lavarias,Aaron Lavarias,4/27/1988,75,250,Idaho,0,
00-0028249,J.Ross,Jeremy Ross,3/16/1988,72,215,California,5,11
00-0028719,T.Irvin,Tommy Irvin,4/6/1989,72,212,Wofford,1,
00-0028718,D.Epperson,Derek Epperson,4/28/1989,75,240,Baylor,1,
00-0029596,A.Dennard,Alfonzo Dennard,9/9/1989,70,200,Nebraska,4,0
00-0029597,J.Tucker,Justin Tucker,11/21/1989,73,180,Texas,5,9
00-0029046,R.Steed,Ryan Steed,7/21/1990,71,185,Furman,1,
00-0029047,K.Adams,Kendrick Adams,11/3/1988,77,250,LSU,1,0
00-0029040,D.Harrison,Damon Harrison,11/29/1988,76,350,William Penn,5,98
00-0029041,G.Kinne,G.J. Kinne,12/1/1988,74,218,Tulsa,1,4
00-0029590,T.Thompson,Taylor Thompson,10/19/1989,78,268,Southern Methodist,4,84
00-0029043,D.Lynn,D'Anton Lynn,10/24/1989,73,208,Penn State,1,
00-0019596,T.Brady,Tom Brady,8/3/1977,76,225,Michigan,17,12
00-0029048,J.Banyard,Joe Banyard,11/12/1988,70,221,Texas-El Paso,3,29
00-0029049,L.Barbiasz,Lee Barbiasz,7/3/1988,79,308,Northern Colorado,1,
00-0019593,A.Thomas,Adalius Thomas,8/18/1977,74,270,Southern Mississippi,10,
00-0032993,,Andrew Bonnet,12/27/1992,75,250,North Dakota State,0,40
00-0032990,,Kyle Rose,10/2/1992,76,295,West Virginia,0,63
00-0032991,,Patrick Skov,7/21/1992,72,235,Georgia Tech,0,48
00-0032996,,Devon Johnson,7/28/1993,72,245,Marshall,0,47
00-0032994,,Jeremy Cash,12/9/1992,72,215,Duke,0,57
00-0032995,,Keyarris Garrett,9/26/1992,75,215,Tulsa,0,15
00-0032998,,Jared Norris,7/19/1993,73,240,Utah,0,52
00-0022034,M.Haggan,Mario Haggan,3/3/1980,75,274,Mississippi State,10,
00-0022038,T.Banta-Cain,Tully Banta-Cain,8/28/1980,74,250,California,8,
00-0028056,J.Brown,Jalil Brown,10/14/1987,73,210,Colorado,6,31
00-0028057,D.Carter,Delone Carter,6/22/1987,69,232,Syracuse,3,34
00-0026029,K.Lumpkin,Kregg Lumpkin,5/15/1984,71,228,Georgia,4,
00-0026028,D.Lansanah,Danny Lansanah,8/28/1985,73,235,Connecticut,4,1
00-0033052,,Jaylon Smith,6/14/1995,74,240,Notre Dame,0,54
00-0026022,J.Allen,Jake Allen,1/18/1985,76,196,Mississippi College,3,
00-0033053,,Sean Davis,10/23/1993,73,202,Maryland,0,28
00-0026027,J.Jansen,J.J. Jansen,1/20/1986,74,240,Notre Dame,9,44
00-0026026,J.Haynos,Joey Haynos,8/28/1984,80,270,Maryland,5,
00-0026025,R.Harper,Rod Harper,3/26/1985,72,209,Murray State,3,
00-0029628,C.Bilukidi,Christo Bilukidi,12/13/1989,77,310,Georgia State,4,79
00-0029629,N.Stupar,Nate Stupar,3/14/1988,74,240,Penn State,4,54
00-0030841,,Chaz Sutton,9/7/1989,77,263,South Carolina,1,49
00-0030846,S.Lobato,Seth Lobato,12/5/1990,78,223,Northern Colorado,1,4
00-0030844,,Marcus Hall,//,77,315,Ohio State,0,64
00-0030845,T.Hoover,Tyler Hoover,1/28/1990,79,297,Michigan State,1,64
00-0030594,T.Long,Travis Long,7/24/1991,76,255,Washington State,2,57
00-0030595,T.Johnson,Travis Johnson,6/28/1991,75,244,San Jose State,,
00-0030596,J.Williams,Josh Williams,9/24/1990,76,257,Kansas,,
00-0029623,A.Tanney,Alex Tanney,11/11/1987,76,220,Monmouth (Ill.),2,11
00-0030590,,Jonathan Cooper,1/19/1990,74,310,North Carolina,4,65
00-0030591,,Graham Pocic,4/5/1990,79,310,Illinois,2,64
00-0030592,D.Milliner,Dee Milliner,9/14/1991,72,201,Alabama,4,27
00-0029627,J.Crawford,Jack Crawford,9/7/1988,77,288,Penn State,5,58
00-0033058,,Reggie Ragland,9/23/1993,74,252,Alabama,0,59
00-0024773,D.Jones,Derrick Jones,11/14/1984,76,315,Grand Valley State,4,
00-0024772,J.Capizzi,Jason Capizzi,6/19/1983,81,330,Indiana (PA),4,
00-0021270,J.Phillips,Jermaine Phillips,3/27/1979,74,230,Georgia,8,
00-0033164,,Troymaine Pope,11/26/1993,70,207,Jacksonville State,0,0
00-0033165,,Malcolm Jackson,2/4/1994,71,180,Charleston Southern,0,0
00-0033166,,Alex Chisum,11/6/1992,75,194,Cincinnati,0,0
00-0033167,,Anthony Kelly,4/14/1993,74,210,Kutztown,0,84
00-0033161,,Isaiah Williams,5/5/1993,75,295,Akron,0,63
00-0033162,,Matt Pierson,2/24/1993,78,298,Oregon,0,61
00-0033163,,Mathu Gibson,8/6/1993,78,295,Wingate,0,67
00-0033168,,Zamir Carlis,3/14/1990,76,275,Stillman,0,0
00-0033169,,Tom Lally,10/2/1993,74,260,Mount Union,0,78
00-0023179,T.Curtis,Tony Curtis,2/11/1983,77,251,Portland State,6,
00-0023173,J.Denney,John Denney,12/13/1978,77,242,Brigham Young,12,92
00-0031635,,Andre Davis,9/1/1993,73,211,South Florida,1,14
00-0023176,J.Cribbs,Josh Cribbs,6/9/1983,73,192,Kent State,10,0
00-0023177,J.Condo,Jon Condo,8/26/1981,75,240,Maryland,10,59
00-0027888,T.Gerhart,Toby Gerhart,3/28/1987,72,235,Stanford,6,21
00-0027889,J.Worilds,Jason Worilds,3/3/1988,74,262,Virginia Tech,5,93
00-0027882,P.Robinson,Patrick Robinson,9/7/1987,71,191,Florida State,7,25
00-0027883,K.Misi,Koa Misi,1/17/1987,75,256,Utah,7,55
00-0027880,J.Best,Jahvid Best,1/30/1989,70,199,California,3,
00-0027881,J.Hughes,Jerry Hughes,8/13/1988,74,254,Texas Christian,7,55
00-0027886,D.Washington,Daryl Washington,10/9/1986,74,238,Texas Christian,5,58
00-0027887,T.Mays,Taylor Mays,2/7/1988,75,225,USC,6,27
00-0027884,S.Kindle,Sergio Kindle,9/20/1987,75,250,Texas,3,
00-0027885,L.Joseph,Linval Joseph,10/10/1988,76,329,East Carolina,7,98
00-0031639,,Merrill Noel,9/10/1991,70,175,Wake Forest,0,46
00-0025822,A.Alridge,Anthony Alridge,11/24/1984,69,185,Houston,2,
00-0025823,M.Erickson,Mitch Erickson,5/14/1985,76,290,South Dakota State,2,
00-0025820,J.Long,Jake Long,5/9/1985,79,322,Michigan,8,75
00-0025821,G.Guyton,Gary Guyton,11/14/1985,75,245,Georgia Tech,5,
00-0025826,T.Polumbus,Tyler Polumbus,4/10/1985,80,308,Colorado,8,76
00-0025824,G.Hartley,Garrett Hartley,5/16/1986,68,195,Oklahoma,7,8
00-0025825,B.Kern,Brett Kern,2/17/1986,74,214,Toledo,9,6
00-0025828,W.Woodyard,Wesley Woodyard,7/21/1986,72,233,Kentucky,9,59
00-0025829,D.Legursky,Doug Legursky,6/9/1986,73,323,Marshall,7,64
00-0031085,,Jay Prosch,8/21/1992,73,256,Auburn,3,45
00-0031084,,Eric Pinkins,8/7/1991,75,230,San Diego State,3,47
00-0031087,A.Hal,Andre Hal,5/30/1992,70,188,Vanderbilt,3,29
00-0031086,,Tajh Boyd,9/25/1990,73,222,Clemson,1,2
00-0031081,Z.Moore,Zach Moore,9/5/1990,78,280,Concordia-St. Paul,3,91
00-0031080,D.Goodson,Demetri Goodson,6/11/1989,71,197,Baylor,3,39
00-0031083,,Andrew Jackson,3/16/1992,73,254,Western Kentucky,0,54
00-0031082,T.Rooks,Tavon Rooks,5/10/1990,77,300,Kansas State,1,65
00-0031089,B.Allen,Beau Allen,11/14/1991,75,327,Wisconsin,3,94
00-0031088,T.Bolser,Ted Bolser,10/22/1990,77,249,Indiana,1,0
00-0027082,V.Martin,Vaughn Martin,4/18/1986,76,300,Western Ontario (Canada),6,94
00-0027083,D.Bruton,David Bruton,7/23/1987,74,225,Notre Dame,8,30
00-0027080,M.Goodson,Mike Goodson,5/23/1987,72,210,Texas A&M,6,23
00-0027081,G.Quin,Glover Quin,1/15/1986,72,207,New Mexico,8,27
00-0027086,S.Arnoux,Stanley Arnoux,9/9/1986,72,232,Wake Forest,1,
00-0027087,B.Williams,Brandon Williams,6/21/1988,75,250,Texas Tech,3,
00-0027084,S.Hill,Sammie Lee Hill,11/8/1986,76,328,Stillman,7,94
00-0027085,C.Vaughn,Chip Vaughn,10/26/1985,74,221,Wake Forest,2,
00-0027088,S.Nelson,Shawn Nelson,10/5/1985,77,273,Southern Mississippi,3,
00-0027089,L.Murphy,Louis Murphy,5/11/1987,74,200,Florida,8,18
00-0032699,,Claude Pelon,11/27/1992,76,300,USC,0,66
00-0032698,,Julien Obioha,7/7/1994,76,280,Texas A&M,0,65
00-0023509,J.Tuck,Justin Tuck,3/29/1983,77,265,Notre Dame,11,91
00-0031339,D.Moncrief,Donte Moncrief,8/6/1993,74,222,Mississippi,3,10
00-0031338,,Terrence Brooks,3/2/1991,71,200,Florida State,3,31
00-0023503,C.Roby,Courtney Roby,1/10/1983,72,189,Indiana,8,15
00-0023502,C.Frye,Charlie Frye,8/28/1981,76,220,Akron,6,
00-0023501,O.Atogwe,Oshiomogho Atogwe,6/23/1981,71,205,Stanford,8,
00-0023500,F.Gore,Frank Gore,5/14/1983,69,217,Miami (Fla.),12,23
00-0031333,H.Clinton-Dix,Ha Ha Clinton-Dix,12/21/1992,73,208,Alabama,3,21
00-0023506,Al.Smith,Alex Smith,5/22/1982,76,250,Stanford,11,83
00-0023505,C.Crowder,Channing Crowder,12/2/1983,74,250,Florida,6,
00-0023504,A.Walter,Andrew Walter,5/11/1982,78,230,Arizona State,5,
00-0032349,,Marcus Leak,11/19/1992,72,210,Maryland,0,8
00-0032347,,Darion Griswold,12/23/1992,77,264,Arkansas State,0,85
00-0032346,,Daniel Davie,8/4/1993,73,185,Nebraska,0,32
00-0032345,,Isiah Cage,8/26/1993,77,312,Wis.-Eau Claire,0,0
00-0032344,,Sterling Bailey,9/13/1992,75,296,Georgia,0,67
00-0032343,,Andrew Williamson,11/18/1992,73,212,Vanderbilt,0,36
00-0032342,,Danny Anthrop,5/29/1993,72,193,Purdue,0,6
00-0032341,,Moritz Boehringer,10/16/1993,76,225,Unknown,0,81
00-0024322,G.Watson,Gabe Watson,9/24/1983,75,333,Michigan,6,
00-0026845,V.Anderson,Vince Anderson,12/8/1984,74,205,Webber International FL,2,
00-0026844,G.Sanborn,Garrison Sanborn,7/31/1985,73,240,Florida State,8,65
00-0030068,M.Goodwin,Marquise Goodwin,11/19/1990,69,179,Texas,3,88
00-0030069,D.Moore,Damontre Moore,9/11/1992,77,250,Texas A&M,3,57
00-0026843,J.Simmons,Jack Simmons,2/21/1986,76,246,Minnesota,0,
00-0026842,J.Watkins,Jason Watkins,6/10/1985,78,329,Florida,3,
00-0030064,J.Bostic,Jon Bostic,5/5/1991,73,245,Florida,4,47
00-0030065,L.Warford,Larry Warford,6/18/1991,75,332,Kentucky,4,75
00-0030066,B.Winters,Brian Winters,7/10/1991,76,320,Kent State,4,67
00-0030067,T.Armstead,Terron Armstead,7/23/1991,77,304,Arkansas-Pine Bluff,4,72
00-0030060,K.Vaccaro,Kenny Vaccaro,2/15/1991,72,214,Texas,4,32
00-0026848,Sp.Smith,Spenser Smith,12/15/1986,73,240,Eastern Michigan,1,
00-0030062,D.Slay,Darius Slay,1/1/1991,72,190,Mississippi State,4,23
00-0030063,J.Hankins,Johnathan Hankins,3/30/1992,74,320,Ohio State,4,95
00-0030524,L.Jones,Landry Jones,4/4/1989,76,225,Oklahoma,4,3
00-0028503,B.Hicks,Brandon Hicks,3/22/1989,74,228,Florida,2,
00-0028500,R.Forrest,Reid Forrest,11/2/1987,73,198,Washington State,1,
00-0028501,S.Glover,Sidney Glover,2/1/1989,71,207,West Virginia,1,
00-0028058,A.Henery,Alex Henery,8/18/1987,73,177,Nebraska,4,5
00-0028059,C.Prosinski,Chris Prosinski,4/28/1987,73,213,Wyoming,6,31
00-0028504,B.Jefferson,Brad Jefferson,3/22/1989,74,250,Georgia Tech,1,
00-0028505,L.Means,Loyce Means,3/31/1989,70,188,Houston,1,0
00-0028054,C.Matthews,Casey Matthews,1/16/1989,73,242,Oregon,5,59
00-0028055,,James Brewer,12/23/1987,78,330,Indiana,5,69
00-0028508,J.Nesbitt,Joshua Nesbitt,4/15/1988,73,213,Georgia Tech,2,
00-0028509,Z.Pianalto,Zack Pianalto,5/27/1989,76,250,North Carolina,2,
00-0028050,G.Salas,Greg Salas,8/25/1988,74,210,Hawaii,5,11
00-0028051,C.Chekwa,Chimdi Chekwa,1/7/1988,72,196,Ohio State,4,38
00-0028052,C.Shorts,Cecil Shorts,12/22/1987,72,202,Mount Union,6,18
00-0028053,K.Hunter,Kendall Hunter,9/16/1988,67,199,Oklahoma State,5,48
00-0026900,J.Gilbert,Jarron Gilbert,9/30/1986,77,289,San Jose State,2,
00-0026901,M.Wallace,Mike Wallace,8/1/1986,72,205,Mississippi,8,12
00-0026902,R.Barden,Ramses Barden,1/1/1986,78,224,Cal Poly-S.L.O.,5,9
00-0026903,K.Lewis,Keenan Lewis,5/17/1986,73,208,Oregon State,8,21
00-0026904,J.Iglesias,Juaquin Iglesias,8/22/1987,72,205,Oklahoma,4,
00-0026905,H.Melton,Henry Melton,10/11/1986,75,290,Texas,7,90
00-0026906,K.Moore,Kyle Moore,10/25/1986,78,263,USC,5,
